"name","Rk","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","X90s","Gls","Ast","G.A","G.PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG.xAG","PrgC","PrgP","PrgR","G.A.PK","xG.xAG","Rk_stats_shooting","Nation_stats_shooting","Pos_stats_shooting","Comp_stats_shooting","Age_stats_shooting","Born_stats_shooting","X90s_stats_shooting","Gls_stats_shooting","Sh","SoT","SoT.","Sh.90","SoT.90","G.Sh","G.SoT","Dist","FK","PK_stats_shooting","PKatt_stats_shooting","xG_stats_shooting","npxG_stats_shooting","npxG.Sh","G.xG","np.G.xG","Rk_stats_passing","Nation_stats_passing","Pos_stats_passing","Comp_stats_passing","Age_stats_passing","Born_stats_passing","X90s_stats_passing","Cmp","Att","Cmp.","TotDist","PrgDist","Ast_stats_passing","xAG_stats_passing","xA","A.xAG","KP","X1.3","PPA","CrsPA","PrgP_stats_passing","Rk_stats_passing_types","Nation_stats_passing_types","Pos_stats_passing_types","Comp_stats_passing_types","Age_stats_passing_types","Born_stats_passing_types","X90s_stats_passing_types","Att_stats_passing_types","Live","Dead","FK_stats_passing_types","TB","Sw","Crs","TI","CK","In","Out","Str","Cmp_stats_passing_types","Off","Blocks","Rk_stats_gca","Nation_stats_gca","Pos_stats_gca","Comp_stats_gca","Age_stats_gca","Born_stats_gca","X90s_stats_gca","SCA","SCA90","PassLive","PassDead","TO","Sh_stats_gca","Fld","Def","GCA","GCA90","Rk_stats_defense","Nation_stats_defense","Pos_stats_defense","Comp_stats_defense","Age_stats_defense","Born_stats_defense","X90s_stats_defense","Tkl","TklW","Def.3rd","Mid.3rd","Att.3rd","Att_stats_defense","Tkl.","Lost","Blocks_stats_defense","Sh_stats_defense","Pass","Int","Tkl.Int","Clr","Err","Rk_stats_possession","Nation_stats_possession","Pos_stats_possession","Comp_stats_possession","Age_stats_possession","Born_stats_possession","X90s_stats_possession","Touches","Def.Pen","Def.3rd_stats_possession","Mid.3rd_stats_possession","Att.3rd_stats_possession","Att.Pen","Live_stats_possession","Att_stats_possession","Succ","Succ.","Tkld","Tkld.","Carries","TotDist_stats_possession","PrgDist_stats_possession","PrgC_stats_possession","X1.3_stats_possession","CPA","Mis","Dis","Rec","PrgR_stats_possession","Rk_stats_playing_time","Nation_stats_playing_time","Pos_stats_playing_time","Comp_stats_playing_time","Age_stats_playing_time","Born_stats_playing_time","MP_stats_playing_time","Min_stats_playing_time","Mn.MP","Min.","X90s_stats_playing_time","Starts_stats_playing_time","Mn.Start","Compl","Subs","Mn.Sub","unSub","PPM","onG","onGA","X...","X...90","On.Off","onxG","onxGA","xG...","xG...90","Rk_stats_misc","Nation_stats_misc","Pos_stats_misc","Comp_stats_misc","Age_stats_misc","Born_stats_misc","X90s_stats_misc","CrdY_stats_misc","CrdR_stats_misc","X2CrdY","Fls","Fld_stats_misc","Off_stats_misc","Crs_stats_misc","Int_stats_misc","TklW_stats_misc","PKwon","PKcon","OG","Recov","Won","Lost_stats_misc","Won.","Rk_stats_keeper","Nation_stats_keeper","Pos_stats_keeper","Comp_stats_keeper","Age_stats_keeper","Born_stats_keeper","MP_stats_keeper","Starts_stats_keeper","Min_stats_keeper","X90s_stats_keeper","GA","GA90","SoTA","Saves","Save.","W","D","L","CS","CS.","PKatt_stats_keeper","PKA","PKsv","PKm","Rk_stats_keeper_adv","Nation_stats_keeper_adv","Pos_stats_keeper_adv","Comp_stats_keeper_adv","Age_stats_keeper_adv","Born_stats_keeper_adv","X90s_stats_keeper_adv","GA_stats_keeper_adv","PKA_stats_keeper_adv","FK_stats_keeper_adv","CK_stats_keeper_adv","OG_stats_keeper_adv","PSxG","PSxG.SoT","PSxG...","X.90","Cmp_stats_keeper_adv","Att_stats_keeper_adv","Cmp._stats_keeper_adv","Att..GK.","Thr","Launch.","AvgLen","Opp","Stp","Stp.","X.OPA","X.OPA.90","AvgDist","player_id","player_slug","player_name","player_image_url","name_in_home_country","date_of_birth","place_of_birth","country_of_birth","height","citizenship","is_eu","position","main_position","foot","current_club_id","current_club_name","joined","contract_expires","outfitter","social_media_url","player_agent_id","player_agent_name","contract_option","date_of_last_contract_extension","on_loan_from_club_id","on_loan_from_club_name","contract_there_expires","second_club_url","second_club_name","third_club_url","third_club_name","fourth_club_url","fourth_club_name","date_of_death","date_unix","value","date"
"Kyogo Furuhashi",948,"jp JPN","FW","Rennes","fr Ligue 1",29,1995,6,1,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0.09,948,"jp JPN","FW","fr Ligue 1",29,1995,1.4,0,1,0,0,0.73,0,0,NA,22.7,0,0,0,0.1,0.1,0.13,-0.1,-0.1,948,"jp JPN","FW","fr Ligue 1",29,1995,1.4,3,11,27.3,43,0,0,0,0,0,0,0,0,0,0,948,"jp JPN","FW","fr Ligue 1",29,1995,1.4,11,9,2,0,0,0,0,0,0,0,0,0,3,0,1,948,"jp JPN","FW","fr Ligue 1",29,1995,1.4,0,0,0,0,0,0,0,0,0,0,948,"jp JPN","FW","fr Ligue 1",29,1995,1.4,2,2,1,1,0,1,100,0,0,0,0,0,2,0,0,948,"jp JPN","FW","fr Ligue 1",29,1995,1.4,20,0,4,8,8,2,20,0,0,NA,0,NA,10,24,18,0,0,0,3,1,12,3,1173,"jp JPN","FW","fr Ligue 1",29,1995,6,123,21,4,1.4,1,65,0,5,12,6,1.5,2,4,-2,-1.46,-1.56,2.2,4.2,-1.9,-1.4,948,"jp JPN","FW","fr Ligue 1",29,1995,1.4,0,0,0,4,2,0,0,0,2,0,0,0,1,1,2,33.3,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489463,"kyogo-furuhashi","Kyogo Furuhashi (489463)","https://img.a.transfermarkt.technology/portrait/header/489463-1671709799.jpg","古橋 亨梧","1995-01-20","Ikoma, Nara","Japan",170,"Japan","False","Attack - Centre-Forward","Attack","right",337,"Birmingham City","2025-07-05","2028-06-30","Asics","http://twitter.com/Kyogo_Furuhashi",674,"CAA Base Ltd","","",NA,"","","","","","","","","","2025-06-02",9e+06,2025-06-02
"Kyllian Antonio",134,"fr FRA","DF","Lens","fr Ligue 1",16,2008,3,2,139,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0,0,0.03,134,"fr FRA","DF,MF","fr Ligue 1",16,2008,1.5,0,1,0,0,0.65,0,0,NA,18.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,134,"fr FRA","DF,MF","fr Ligue 1",16,2008,1.5,81,97,83.5,1347,373,0,0,0,0,0,2,0,0,0,134,"fr FRA","DF,MF","fr Ligue 1",16,2008,1.5,97,88,9,2,0,0,2,7,0,0,0,0,81,0,4,134,"fr FRA","DF,MF","fr Ligue 1",16,2008,1.5,1,0.65,1,0,0,0,0,0,0,0,134,"fr FRA","DF,MF","fr Ligue 1",16,2008,1.5,3,2,2,0,1,3,33.3,2,3,0,3,3,6,3,1,134,"fr FRA","DF,MF","fr Ligue 1",16,2008,1.5,114,2,47,54,13,1,114,2,1,50,0,0,82,322,132,1,0,1,2,2,85,0,169,"fr FRA","DF,MF","fr Ligue 1",16,2008,3,139,46,4.5,1.5,2,64,0,1,12,4,1,0,2,-2,-1.29,-1.45,1.1,3,-1.9,-1.23,134,"fr FRA","DF,MF","fr Ligue 1",16,2008,1.5,0,0,0,2,3,0,2,3,2,0,0,0,5,2,2,50,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1186789,"kyllian-antonio","Kyllian Antonio (1186789)","https://img.a.transfermarkt.technology/portrait/header/default.jpg","Kyllian Anderson Antonio","2008-01-04","Champigny-sur-Marne","France",183,"France","True","Defender - Centre-Back","Defender","right",826,"RC Lens","2025-07-01","","","",NA,"","","",NA,"","","","","","","","","","2025-06-02",3e+05,2025-06-02
"Krépin Diatta",718,"sn SEN","DF","Monaco","fr Ligue 1",25,1999,19,3,508,5.6,0,0,0,0,0,0,3,0,0.2,0.2,0.8,1,17,21,41,0,0.17,718,"sn SEN","DF,FW","fr Ligue 1",25,1999,5.6,0,2,1,50,0.35,0.18,0,0,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,718,"sn SEN","DF,FW","fr Ligue 1",25,1999,5.6,240,314,76.4,3683,1198,0,0.8,0.9,-0.8,4,16,6,2,21,718,"sn SEN","DF,FW","fr Ligue 1",25,1999,5.6,314,278,35,2,1,3,15,33,0,0,0,0,240,1,5,718,"sn SEN","DF,FW","fr Ligue 1",25,1999,5.6,10,1.77,10,0,0,0,0,0,0,0,718,"sn SEN","DF,FW","fr Ligue 1",25,1999,5.6,18,12,13,2,3,24,58.3,10,5,1,4,9,27,12,2,718,"sn SEN","DF,FW","fr Ligue 1",25,1999,5.6,373,14,72,192,114,9,373,13,8,61.5,4,30.8,205,1254,693,17,13,1,10,2,230,41,897,"sn SEN","DF,FW","fr Ligue 1",25,1999,19,508,27,16.6,5.6,3,73,1,16,18,5,1.89,8,7,1,0.18,-0.56,11.5,6.8,4.7,0.84,718,"sn SEN","DF,FW","fr Ligue 1",25,1999,5.6,3,0,0,14,7,2,15,9,12,0,0,0,36,15,9,62.5,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490426,"krepin-diatta","Krépin Diatta (490426)","https://img.a.transfermarkt.technology/portrait/header/490426-1668163198.jpg","","1999-02-25","Dakar","Senegal",175,"Senegal","False","Attack - Right Winger","Attack","right",162,"AS Monaco","2021-01-21","2026-06-30","","http://www.instagram.com/krepindiatta/",440,"Wasserman","","",NA,"","","","","","","","","","2025-06-02",7e+06,2025-06-02
"Kjetil Haug",1134,"no NOR","GK","Toulouse","fr Ligue 1",26,1998,6,5,498,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,"no NOR","GK","fr Ligue 1",26,1998,5.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1134,"no NOR","GK","fr Ligue 1",26,1998,5.5,82,130,63.1,2380,1676,0,0,0,0,0,3,0,0,0,1134,"no NOR","GK","fr Ligue 1",26,1998,5.5,130,81,49,14,0,0,0,0,0,0,0,0,82,0,0,1134,"no NOR","GK","fr Ligue 1",26,1998,5.5,0,0,0,0,0,0,0,0,0,0,1134,"no NOR","GK","fr Ligue 1",26,1998,5.5,0,0,0,0,0,0,NA,0,0,0,0,0,0,3,0,1134,"no NOR","GK","fr Ligue 1",26,1998,5.5,140,116,136,4,0,0,140,0,0,NA,0,NA,71,330,193,0,0,0,0,0,54,0,1404,"no NOR","GK","fr Ligue 1",26,1998,6,498,83,16.3,5.5,5,90,5,1,48,11,1.33,12,7,5,0.9,1.04,9.6,7.7,1.9,0.35,1134,"no NOR","GK","fr Ligue 1",26,1998,5.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,NA,65,"no NOR","GK","fr Ligue 1",26,1998,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20,0,0,0,0,65,"no NOR","GK","fr Ligue 1",26,1998,5.5,7,0,0,2,0,6.6,0.45,-0.4,-0.06,16,60,26.7,95,13,37.9,34.1,72,5,6.9,3,0.54,12.1,328770,"kjetil-haug","Kjetil Haug (328770)","https://img.a.transfermarkt.technology/portrait/header/328770-1663671597.jpg","Christian Kjetil Haug","1998-06-12","Fredrikstad","Norway",191,"Norway","True","Goalkeeper","Goalkeeper","right",415,"FC Toulouse","2022-07-01","2026-06-30","","",13557,"Golden Sports Mgmt","","",NA,"","","","","","","","","","2025-06-02",6e+05,2025-06-02
"Ki-Jana Hoever",1169,"nl NED","DF","Auxerre","fr Ligue 1",22,2002,30,26,2124,23.6,1,2,3,1,0,0,4,1,0.5,0.5,2.7,3.2,59,79,128,0.13,0.13,1169,"nl NED","DF","fr Ligue 1",22,2002,23.6,1,10,5,50,0.42,0.21,0.1,0.2,21.1,0,0,0,0.5,0.5,0.05,0.5,0.5,1169,"nl NED","DF","fr Ligue 1",22,2002,23.6,768,1084,70.8,13172,5159,2,2.7,1.7,-0.7,24,66,28,14,79,1169,"nl NED","DF","fr Ligue 1",22,2002,23.6,1084,894,187,7,1,12,78,180,0,0,0,0,768,3,33,1169,"nl NED","DF","fr Ligue 1",22,2002,23.6,49,2.08,44,1,3,0,1,0,4,0.17,1169,"nl NED","DF","fr Ligue 1",22,2002,23.6,51,38,26,16,9,54,55.6,24,33,3,30,21,72,70,1,1169,"nl NED","DF","fr Ligue 1",22,2002,23.6,1349,75,393,577,390,29,1349,35,9,25.7,24,68.6,656,3300,1749,59,39,12,32,12,756,128,1447,"nl NED","DF","fr Ligue 1",22,2002,30,2124,71,69.4,23.6,26,79,6,4,21,1,1.27,34,29,5,0.21,0.98,30.2,36.1,-5.9,-0.25,1169,"nl NED","DF","fr Ligue 1",22,2002,23.6,4,1,1,22,12,0,78,21,38,0,0,0,91,24,19,55.8,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485583,"ki-jana-hoever","Ki-Jana Hoever (485583)","https://img.a.transfermarkt.technology/portrait/header/485583-1724259461.jpg","Ki-Jana Delano Hoever","2002-01-18","Amsterdam","Netherlands",183,"Netherlands  Suriname","True","Defender - Right-Back","Defender","right",543,"Wolverhampton Wanderers","2020-09-19","2026-06-30","adidas","http://www.instagram.com/kihoever/?hl=com",440,"Wasserman","","2023-07-21",NA,"","","","","","","","","","2025-06-02",5e+06,2025-06-02
"Khvicha Kvaratskhelia",1428,"ge GEO","FW","Paris S-G","fr Ligue 1",23,2001,14,11,916,10.2,4,3,7,4,0,0,0,0,3.3,3.3,4.9,8.2,50,43,131,0.69,0.8,1428,"ge GEO","FW","fr Ligue 1",23,2001,10.2,4,34,15,44.1,3.34,1.47,0.12,0.27,19,2,0,0,3.3,3.3,0.1,0.7,0.7,1428,"ge GEO","FW","fr Ligue 1",23,2001,10.2,468,547,85.6,6585,1480,3,4.9,3.8,-1.9,25,32,20,4,43,1428,"ge GEO","FW","fr Ligue 1",23,2001,10.2,547,507,38,5,5,3,33,5,27,6,12,0,468,2,15,1428,"ge GEO","FW","fr Ligue 1",23,2001,10.2,60,5.89,39,3,9,3,3,3,8,0.79,1428,"ge GEO","FW","fr Ligue 1",23,2001,10.2,19,13,4,12,3,23,56.5,10,7,0,7,2,21,4,0,1428,"ge GEO","FW","fr Ligue 1",23,2001,10.2,668,4,31,242,404,71,668,53,25,47.2,25,47.2,444,2947,1517,50,37,28,19,25,555,131,1764,"ge GEO","FW","fr Ligue 1",23,2001,14,916,65,29.9,10.2,11,77,4,3,24,2,2.5,24,10,14,1.38,-0.43,25.4,8.7,16.7,1.64,1428,"ge GEO","FW","fr Ligue 1",23,2001,10.2,0,0,0,12,18,0,33,2,13,0,0,0,27,3,5,37.5,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502670,"khvicha-kvaratskhelia","Khvicha Kvaratskhelia (502670)","https://img.a.transfermarkt.technology/portrait/header/502670-1708553120.jpg","ხვიჩა კვარაცხელია","2001-02-12","Tiflis","Georgia",183,"Georgia","False","Attack - Left Winger","Attack","both",583,"Paris Saint-Germain","2025-01-17","2029-06-30","adidas","http://www.instagram.com/kvara7/",NA,"","","",NA,"","","","","","","","","","2025-06-02",9e+07,2025-06-02
"Khalil Fayad",879,"fr FRA","MF","Montpellier","fr Ligue 1",20,2004,20,10,1028,11.4,0,0,0,0,0,0,5,0,1.3,1.3,0.3,1.5,25,50,42,0,0.13,879,"fr FRA","MF,FW","fr Ligue 1",20,2004,11.4,0,17,3,17.6,1.49,0.26,0,0,23.2,1,0,0,1.3,1.3,0.07,-1.3,-1.3,879,"fr FRA","MF,FW","fr Ligue 1",20,2004,11.4,426,514,82.9,7173,1757,0,0.3,0.6,-0.3,7,35,5,2,50,879,"fr FRA","MF,FW","fr Ligue 1",20,2004,11.4,514,492,22,12,2,4,20,3,7,4,0,0,426,0,12,879,"fr FRA","MF,FW","fr Ligue 1",20,2004,11.4,19,1.66,15,1,0,1,2,0,1,0.09,879,"fr FRA","MF,FW","fr Ligue 1",20,2004,11.4,31,16,12,17,2,28,53.6,13,18,1,17,10,41,15,1,879,"fr FRA","MF,FW","fr Ligue 1",20,2004,11.4,663,19,129,367,175,17,663,38,17,44.7,20,52.6,340,2150,923,25,15,7,18,13,426,42,1082,"fr FRA","MF,FW","fr Ligue 1",20,2004,20,1028,51,33.6,11.4,10,76,4,10,27,1,0.5,7,29,-22,-1.93,-0.42,9.8,23.9,-14,-1.23,879,"fr FRA","MF,FW","fr Ligue 1",20,2004,11.4,5,0,0,21,27,1,20,10,16,0,0,1,74,9,6,60,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782630,"khalil-fayad","Khalil Fayad (782630)","https://img.a.transfermarkt.technology/portrait/header/782630-1702663427.JPG","خليل فياض","2004-06-09","Montpellier","Morocco",172,"Morocco  France","True","Midfield - Central Midfield","Midfield","right",969,"Montpellier HSC","2022-07-01","2027-06-30","adidas","http://www.instagram.com/khaliil.fayad/",6729,"BS Group ...","","2023-02-03",NA,"","","","","","","","","","2025-06-02",3e+06,2025-06-02
"Keyliane Abdallah",5,"fr FRA","FW","Marseille","fr Ligue 1",18,2006,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,"fr FRA","FW","fr Ligue 1",18,2006,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,5,"fr FRA","FW","fr Ligue 1",18,2006,0,2,2,100,41,0,0,0,0,0,0,0,0,0,0,5,"fr FRA","FW","fr Ligue 1",18,2006,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,"fr FRA","FW","fr Ligue 1",18,2006,0,0,0,0,0,0,0,0,0,0,0,5,"fr FRA","FW","fr Ligue 1",18,2006,0,1,1,1,0,0,1,100,0,0,0,0,0,1,0,0,5,"fr FRA","FW","fr Ligue 1",18,2006,0,4,0,3,1,0,0,4,0,0,NA,0,NA,1,10,9,1,0,0,1,0,3,0,7,"fr FRA","FW","fr Ligue 1",18,2006,1,3,3,0.1,0,0,NA,0,1,3,7,3,0,0,0,0,-0.79,0,0,0,-0.49,5,"fr FRA","FW","fr Ligue 1",18,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1183719,"keyliane-abdallah","Keyliane Abdallah (1183719)","https://img.a.transfermarkt.technology/portrait/header/default.jpg","Keyliane Hikram Abdallah","2006-04-05","Marseille","France",185,"France  Mayotte","True","Attack - Right Winger","Attack","left",8524,"Olympique de Marseille B","2024-07-01","2028-06-30","","",13796,"AS1","","2025-02-21",NA,"","","/olympique-marseille/startseite/verein/244","Olympique Marseille (#48)","","","","","","2025-06-02",1e+05,2025-06-02
"Kévin Pedro",2063,"fr FRA","DF","Saint-Étienne","fr Ligue 1",18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2063,"fr FRA","DF","fr Ligue 1",18,2006,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,2063,"fr FRA","DF","fr Ligue 1",18,2006,0.1,6,11,54.5,89,35,0,0,0,0,0,0,0,0,0,2063,"fr FRA","DF","fr Ligue 1",18,2006,0.1,11,8,3,0,0,0,1,3,0,0,0,0,6,0,0,2063,"fr FRA","DF","fr Ligue 1",18,2006,0.1,0,0,0,0,0,0,0,0,0,0,2063,"fr FRA","DF","fr Ligue 1",18,2006,0.1,3,0,2,1,0,3,100,0,1,0,1,2,5,1,0,2063,"fr FRA","DF","fr Ligue 1",18,2006,0.1,17,4,8,8,1,0,17,1,1,100,0,0,8,60,38,2,0,0,0,0,4,1,2545,"fr FRA","DF","fr Ligue 1",18,2006,1,10,10,0.3,0.1,0,NA,0,1,10,3,0,0,0,0,0,1.12,0,0.1,-0.1,-0.55,2063,"fr FRA","DF","fr Ligue 1",18,2006,0.1,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955263,"kevin-pedro","Kévin Pedro (955263)","https://img.a.transfermarkt.technology/portrait/header/955263-1727721169.jpg","","2006-02-21","Carcassonne","France",183,"France  DR Congo","True","Defender - Centre-Back","Defender","right",8515,"AS Saint-Étienne B","2024-07-01","","","",4086,"MDC Advisors","","",NA,"","","","","","","","","","2025-06-02",50000,2025-06-02
"Kévin Danois",660,"fr FRA","MF","Auxerre","fr Ligue 1",20,2004,22,16,1460,16.2,0,0,0,0,0,0,1,0,1.5,1.5,2.2,3.7,19,95,50,0,0.23,660,"fr FRA","MF","fr Ligue 1",20,2004,16.2,0,17,3,17.6,1.05,0.18,0,0,17.4,0,0,0,1.5,1.5,0.09,-1.5,-1.5,660,"fr FRA","MF","fr Ligue 1",20,2004,16.2,585,718,81.5,9757,2615,0,2.2,2,-2.2,25,62,11,2,95,660,"fr FRA","MF","fr Ligue 1",20,2004,16.2,718,703,15,8,3,11,14,7,0,0,0,0,585,0,14,660,"fr FRA","MF","fr Ligue 1",20,2004,16.2,54,3.33,45,0,5,2,1,1,6,0.37,660,"fr FRA","MF","fr Ligue 1",20,2004,16.2,49,30,20,22,7,46,43.5,26,17,3,14,20,69,20,0,660,"fr FRA","MF","fr Ligue 1",20,2004,16.2,912,35,197,470,256,37,912,41,21,51.2,19,46.3,570,2743,1230,19,19,5,25,24,597,50,819,"fr FRA","MF","fr Ligue 1",20,2004,22,1460,66,47.7,16.2,16,84,10,6,21,1,1.36,26,21,5,0.31,0.76,23.3,28.9,-5.6,-0.35,660,"fr FRA","MF","fr Ligue 1",20,2004,16.2,1,0,0,22,18,2,14,20,30,0,0,0,102,14,18,43.8,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743496,"kevin-danois","Kévin Danois (743496)","https://img.a.transfermarkt.technology/portrait/header/743496-1672330479.jpg","","2004-06-28","Basse-Terre","France",183,"France  Guadeloupe","True","Midfield - Central Midfield","Midfield","right",290,"AJ Auxerre","2022-07-01","2028-06-30","","",9515,"Cracksman","","2024-07-12",NA,"","","","","","","","","","2025-06-02",8e+06,2025-06-02
"Kenny Lala",1442,"mg MAD","DF","Brest","fr Ligue 1",32,1991,30,29,2686,29.8,3,2,5,0,3,3,5,0,3,0.6,4.3,4.9,58,138,91,0.07,0.24,1442,"mg MAD","DF","fr Ligue 1",32,1991,29.8,3,9,4,44.4,0.3,0.13,0,0,26.8,2,3,3,3,0.6,0.07,0,-0.6,1442,"mg MAD","DF","fr Ligue 1",32,1991,29.8,1367,1796,76.1,27268,10357,2,4.3,5,-2.3,41,124,40,13,138,1442,"mg MAD","DF","fr Ligue 1",32,1991,29.8,1796,1487,306,65,4,13,126,230,10,3,5,0,1367,3,44,1442,"mg MAD","DF","fr Ligue 1",32,1991,29.8,80,2.68,56,19,1,3,0,1,6,0.2,1442,"mg MAD","DF","fr Ligue 1",32,1991,29.8,66,42,36,23,7,57,66.7,19,25,9,16,25,91,75,2,1442,"mg MAD","DF","fr Ligue 1",32,1991,29.8,2043,110,642,952,461,7,2040,24,15,62.5,8,33.3,1054,6043,3093,58,45,2,29,16,1229,91,1782,"mg MAD","DF","fr Ligue 1",32,1991,30,2686,90,87.8,29.8,29,90,29,1,76,2,1.57,46,50,-4,-0.13,0.59,41.5,47.4,-5.9,-0.2,1442,"mg MAD","DF","fr Ligue 1",32,1991,29.8,5,0,0,18,14,1,126,25,42,0,1,0,154,8,13,38.1,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174196,"kenny-lala","Kenny Lala (174196)","https://img.a.transfermarkt.technology/portrait/header/174196-1677254936.jpg","","1991-10-03","Villepinte","France",178,"France  Martinique","True","Defender - Right-Back","Defender","right",3911,"Stade Brestois 29","2023-01-01","2027-06-30","","http://www.instagram.com/tiiken27/",5390,"S.O.M FOOTBALL","","2024-12-11",NA,"","","","","","","","","","2025-06-02",2e+06,2025-06-02
