"date","name","Age","Pos","Squad","MP","Min","G.A","xG.xAG","KP","Tkl.Int","Save.","value","JoueEurope"
2025-06-02,"Emmanuel Biumla",19,"DF","Angers",17,1336,1,0.05,1,27,0,4e+06,FALSE
2025-05-29,"Emmanuel Agbadou",27,"DF","Reims",14,1260,0,0.06,8,44,0,2e+07,FALSE
2025-06-02,"Elysée Logbo",20,"FW","Le Havre",1,27,0,0.61,0,0,0,4e+05,FALSE
2025-06-02,"Elisha Owusu",26,"MF","Auxerre",28,2344,4,0.05,14,115,0,3e+06,FALSE
2025-05-26,"Eliot Matazo",22,"MF","Monaco",3,68,0,0.08,1,4,0,2e+06,TRUE
2025-06-02,"Eliesse Ben Seghir",19,"MF","Monaco",33,1750,9,0.55,33,44,0,2.8e+07,TRUE
2025-06-02,"Eduard Sobol",29,"DF","Strasbourg",10,95,0,0,0,2,0,9e+05,TRUE
2025-06-02,"Edon Zhegrova",25,"FW","Lille",12,978,5,0.41,16,9,0,2.5e+07,TRUE
2025-06-02,"Edimilson Fernandes",28,"MF","Brest",19,1105,1,0.08,8,29,0,3e+06,FALSE
2025-06-02,"Edhy Zuliani",19,"DF","Toulouse",1,9,0,0,0,1,0,50000,FALSE
2025-06-02,"Dylan Batubinsika",28,"DF","Saint-Étienne",25,2016,1,0.04,4,65,0,1200000,FALSE
2025-06-02,"Donovan Léon",31,"GK","Auxerre",32,2880,2,0.01,3,0,73.8,1e+06,FALSE
2025-06-02,"Djibril Sidibé",32,"DF","Toulouse",28,2101,3,0.14,18,85,0,1e+06,FALSE
2025-06-02,"Djaoui Cissé",20,"MF","Rennes",14,1121,1,0.05,6,46,0,8e+06,FALSE
2025-06-02,"Dimitry Bertaud",26,"GK","Montpellier",4,360,0,0,0,0,57.1,1e+06,FALSE
2025-06-02,"Dilane Bakwa",21,"MF","Strasbourg",30,2497,14,0.41,47,41,0,2.5e+07,TRUE
2025-06-02,"Diego Moreira",19,"DF","Strasbourg",32,2568,9,0.33,30,79,0,1.8e+07,TRUE
2025-06-02,"Désiré Doué",19,"FW","Paris S-G",31,1730,12,0.67,55,61,0,9e+07,TRUE
